Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Platform_encoded,Genre_encoded,Publisher_encoded,Developer_encoded,Rating_encoded,Name
2006,41.36,28.96,3.77,8.45,82.53,76,51,8,322,26,10,361,1008,1,Wii Sports
1985,29.08,3.58,6.81,0.77,40.24,71,22,7.5,24,11,4,361,1558,8,Super Mario Bros.
2008,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,26,6,361,1008,1,Mario Kart Wii
2009,15.61,10.93,3.28,2.95,32.77,80,73,8,192,26,10,361,1008,1,Wii Sports Resort
1996,11.27,8.89,10.22,1,31.37,71,22,7.5,24,5,7,361,1558,8,Pokemon Red/Pokemon Blue
1989,23.2,2.26,4.22,0.58,30.26,71,22,7.5,24,5,5,361,1558,8,Tetris
2006,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,4,4,361,1008,1,New Super Mario Bros.
2006,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,26,3,361,1008,1,Wii Play
2009,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,26,4,361,1008,1,New Super Mario Bros. Wii
1984,26.93,0.63,0.28,0.47,28.31,71,22,7.5,24,11,8,361,1558,8,Duck Hunt
2005,9.05,10.95,1.93,2.74,24.67,71,22,7.5,24,4,9,361,1558,8,Nintendogs
2005,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,4,6,361,1008,1,Mario Kart DS
1999,9,6.18,7.2,0.71,23.1,71,22,7.5,24,5,7,361,1558,8,Pokemon Gold/Pokemon Silver
2007,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,26,10,361,1008,1,Wii Fit
2010,15,4.89,0.24,1.69,21.81,61,45,6.3,106,28,3,325,607,1,Kinect Adventures!
2009,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,26,10,361,1008,1,Wii Fit Plus
2013,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,17,0,496,1208,5,Grand Theft Auto V
2004,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,16,0,496,1208,5,Grand Theft Auto: San Andreas
1990,12.78,3.75,3.54,0.55,20.61,71,22,7.5,24,23,4,361,1558,8,Super Mario World
2005,4.74,9.2,4.16,2.04,20.15,77,58,7.9,50,4,3,361,1008,1,Brain Age: Train Your Brain in Minutes a Day
2006,6.38,4.46,6.04,1.36,18.25,71,22,7.5,24,4,7,361,1558,8,Pokemon Diamond/Pokemon Pearl
1989,10.83,2.71,4.18,0.42,18.14,71,22,7.5,24,5,4,361,1558,8,Super Mario Land
1988,9.54,3.44,3.84,0.46,17.28,71,22,7.5,24,11,4,361,1558,8,Super Mario Bros. 3
2013,9.66,5.14,0.06,1.41,16.27,97,58,8.1,3711,28,0,496,1208,5,Grand Theft Auto V
2002,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,16,0,496,1208,5,Grand Theft Auto: Vice City
2002,6.06,3.9,5.38,0.5,15.85,71,22,7.5,24,6,7,361,1558,8,Pokemon Ruby/Pokemon Sapphire
2005,3.43,5.35,5.32,1.18,15.29,77,37,7.1,19,4,5,361,1008,1,Brain Age 2: More Training in Minutes a Day
2010,5.51,3.17,5.65,0.8,15.14,71,22,7.5,24,4,7,361,1558,8,Pokemon Black/Pokemon White
2001,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,16,6,457,1118,1,Gran Turismo 3: A-Spec
2011,9.04,4.24,0.13,1.32,14.73,88,81,3.4,8713,28,8,21,718,5,Call of Duty: Modern Warfare 3
1998,5.89,5.04,3.12,0.59,14.64,71,22,7.5,24,5,7,361,1558,8,Pokémon Yellow: Special Pikachu Edition
2015,6.03,5.86,0.36,2.38,14.63,71,22,7.5,24,18,8,21,1558,8,Call of Duty: Black Ops 3
